Model_Prompt,Overall,date,diagnosis,dosage,lab,physical,risk,severity
0.6B_cot,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
0.6B_few_shot,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
0.6B_rag,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
0.6B_zero_shot,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
0.6B_zero_shot_quantized_lora,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
1.7B_cot,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
1.7B_few_shot,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
1.7B_rag,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
1.7B_zero_shot,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
1.7B_zero_shot_quantized_lora,1047.0,60.0,60.0,40.0,327.0,240.0,240.0,80.0
